"new_id","structure_category","fatal_score","pop_score","fishing_score","rec_score","hazard_score","ph_tot_score"
140,"Diversion Dam",0,0.927206551410373,0,0,4,4.92720655141037
141,"Diversion Dam",0,0.926296633303003,0,0,4,4.926296633303
142,"Diversion Dam",0,0.925386715195632,0,0,4,4.92538671519563
143,"Diversion Dam",0,0.924476797088262,0,0,4,4.92447679708826
149,"Diversion Dam",0,0.920837124658781,0,0,4,4.92083712465878
885,"Grade Control Structure",0,0.91901728844404,0,0,4,4.91901728844404
886,"Grade Control Structure",0,0.917197452229299,0,0,4,4.9171974522293
887,"Grade Control Structure",0,0.916287534121929,0,0,4,4.91628753412193
150,"Diversion Dam",0,0.915377616014559,0,0,4,4.91537761601456
35,"Diversion Dam",0,0.911737943585077,0,0,4,4.91173794358508
151,"Diversion Dam",0,0.909008189262966,0,0,4,4.90900818926297
40,"Diversion Dam",0,0.907188353048226,0,0,4,4.90718835304823
41,"Diversion Dam",0,0.906278434940855,0,0,4,4.90627843494086
113,"Diversion Dam",0,0.902638762511374,0,0,4,4.90263876251137
835,"Grade Control Structure",0,0.900818926296633,0,0,4,4.90081892629663
114,"Diversion Dam",0,0.898999090081893,0,0,4,4.89899909008189
115,"Diversion Dam",0,0.896269335759782,0,0,4,4.89626933575978
110,"Diversion Dam",0,0.895359417652411,0,0,4,4.89535941765241
843,"Grade Control Structure",0,0.886260236578708,0,0,4,4.88626023657871
33,"Diversion Dam",0,0.885350318471338,0,0,4,4.88535031847134
109,"Diversion Dam",0,0.884440400363967,0,0,4,4.88444040036397
2,"Diversion Dam",0,0.877161055505005,0,0,4,4.877161055505
31,"Diversion Dam",0,0.86442220200182,0,0,4,4.86442220200182
30,"Diversion Dam",0,0.86351228389445,0,0,4,4.86351228389445
90,"Diversion Dam",0,0.862602365787079,0,0,4,4.86260236578708
816,"Grade Control Structure",0,0.858962693357598,0,0,4,4.8589626933576
29,"Diversion Dam",0,0.858052775250227,0,0,4,4.85805277525023
94,"Diversion Dam",0,0.857142857142857,0,0,4,4.85714285714286
28,"Diversion Dam",0,0.853503184713376,0,0,4,4.85350318471338
87,"Diversion Dam",0,0.850773430391265,0,0,4,4.85077343039127
26,"Diversion Dam",0,0.849863512283894,0,0,4,4.84986351228389
98,"Diversion Dam",0,0.848953594176524,0,0,4,4.84895359417652
817,"Grade Control Structure",0,0.848043676069154,0,0,4,4.84804367606915
100,"Diversion Dam",0,0.846223839854413,0,0,4,4.84622383985441
123,"Diversion Dam",0,0.83803457688808,0,0,4,4.83803457688808
83,"Diversion Dam",0,0.836214740673339,0,0,4,4.83621474067334
848,"Grade Control Structure",0,0.835304822565969,0,0,4,4.83530482256597
84,"Diversion Dam",0,0.834394904458599,0,0,4,4.8343949044586
85,"Diversion Dam",0,0.829845313921747,0,0,4,4.82984531392175
82,"Diversion Dam",0,0.826205641492266,0,0,4,4.82620564149227
81,"Diversion Dam",0,0.820746132848044,0,0,4,4.82074613284804
80,"Diversion Dam",0,0.818926296633303,0,0,4,4.8189262966333
86,"Diversion Dam",0,0.818016378525933,0,0,4,4.81801637852593
104,"Diversion Dam",0,0.817106460418562,0,0,4,4.81710646041856
831,"Grade Control Structure",0,0.815286624203822,0,0,4,4.81528662420382
24,"Diversion Dam",0,0.812556869881711,0,0,4,4.81255686988171
124,"Diversion Dam",0,0.81164695177434,0,0,4,4.81164695177434
79,"Diversion Dam",0,0.81073703366697,0,0,4,4.81073703366697
107,"Diversion Dam",0,0.8098271155596,0,0,4,4.8098271155596
910,"Grade Control Structure",0,0.808917197452229,0,0,4,4.80891719745223
182,"Diversion Dam",0,0.808007279344859,0,0,4,4.80800727934486
181,"Diversion Dam",0,0.807097361237489,0,0,4,4.80709736123749
911,"Grade Control Structure",0,0.806187443130118,0,0,4,4.80618744313012
180,"Diversion Dam",0,0.805277525022748,0,0,4,4.80527752502275
183,"Diversion Dam",0,0.804367606915378,0,0,4,4.80436760691538
179,"Diversion Dam",0,0.803457688808007,0,0,4,4.80345768880801
909,"Grade Control Structure",0,0.802547770700637,0,0,4,4.80254777070064
908,"Grade Control Structure",0,0.801637852593267,0,0,4,4.80163785259327
907,"Grade Control Structure",0,0.800727934485896,0,0,4,4.8007279344859
68,"Diversion Dam",0,0.797998180163785,0,0,4,4.79799818016378
905,"Grade Control Structure",0,0.797088262056415,0,0,4,4.79708826205642
125,"Diversion Dam",0,0.795268425841674,0,0,4,4.79526842584167
126,"Diversion Dam",0,0.794358507734304,0,0,4,4.7943585077343
755,"Grade Control Structure",0,0.791628753412193,0,0,4,4.79162875341219
67,"Diversion Dam",0,0.790718835304823,0,0,4,4.79071883530482
70,"Diversion Dam",0,0.789808917197452,0,0,4,4.78980891719745
806,"Grade Control Structure",0,0.787989080982712,0,0,4,4.78798908098271
69,"Diversion Dam",0,0.786169244767971,0,0,4,4.78616924476797
185,"Diversion Dam",0,0.78434940855323,0,0,4,4.78434940855323
912,"Grade Control Structure",0,0.78343949044586,0,0,4,4.78343949044586
72,"Diversion Dam",0,0.78252957233849,0,0,4,4.78252957233849
902,"Grade Control Structure",0,0.781619654231119,0,0,4,4.78161965423112
901,"Grade Control Structure",0,0.780709736123749,0,0,4,4.78070973612375
147,"Diversion Dam",0,0.777979981801638,0,0,4,4.77797998180164
22,"Diversion Dam",0,0.777070063694268,0,0,4,4.77707006369427
74,"Diversion Dam",0,0.776160145586897,0,0,4,4.7761601455869
75,"Diversion Dam",0,0.775250227479527,0,0,4,4.77525022747953
76,"Diversion Dam",0,0.774340309372156,0,0,4,4.77434030937216
177,"Diversion Dam",0,0.771610555050045,0,0,4,4.77161055505005
46,"Diversion Dam",0,0.769790718835305,0,0,4,4.7697907188353
47,"Diversion Dam",0,0.768880800727935,0,0,4,4.76888080072793
48,"Diversion Dam",0,0.767970882620564,0,0,4,4.76797088262056
45,"Diversion Dam",0,0.767060964513194,0,0,4,4.76706096451319
796,"Grade Control Structure",0,0.766151046405823,0,0,4,4.76615104640582
795,"Grade Control Structure",0,0.765241128298453,0,0,4,4.76524112829845
27,"Diversion Dam",0,0.764331210191083,0,0,4,4.76433121019108
797,"Grade Control Structure",0,0.763421292083712,0,0,4,4.76342129208371
49,"Diversion Dam",0,0.762511373976342,0,0,4,4.76251137397634
44,"Diversion Dam",0,0.760691537761601,0,0,4,4.7606915377616
